u_h,u_exact
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
6.545346678818307617e-03,4.199005872725455196e-02
1.035470463141988269e-02,8.057833262092169158e-02
1.274006973587890439e-02,1.126386292234378833e-01
1.416639144148214811e-02,1.355736139739927570e-01
1.483802306840638179e-02,1.475252308077027175e-01
1.483802306840638005e-02,1.475252308077027452e-01
1.416639144148214118e-02,1.355736139739927848e-01
1.274006973587889398e-02,1.126386292234378833e-01
1.035470463141986187e-02,8.057833262092167770e-02
6.545346678818294607e-03,4.199005872725455196e-02
0.000000000000000000e+00,1.825241342103198080e-17
0.000000000000000000e+00,0.000000000000000000e+00
1.157381044578224827e-02,8.304212892902557153e-02
1.883254562253420389e-02,1.593566784427784544e-01
2.347570466736222800e-02,2.227610975997559584e-01
2.627227834672883969e-02,2.681187374404598311e-01
2.759275232016386928e-02,2.917549917372669332e-01
2.759275232016384846e-02,2.917549917372669888e-01
2.627227834672882234e-02,2.681187374404598311e-01
2.347570466736220371e-02,2.227610975997559584e-01
1.883254562253416919e-02,1.593566784427784266e-01
1.157381044578222572e-02,8.304212892902557153e-02
0.000000000000000000e+00,3.609709808744335754e-17
0.000000000000000000e+00,0.000000000000000000e+00
1.551865540901074120e-02,1.222391751935094917e-01
2.576046532558230046e-02,2.345752593972078581e-01
3.245042537939166888e-02,3.279074511573286110e-01
3.651559850462342965e-02,3.946745313653836629e-01
3.844221479365749622e-02,4.294674282620318251e-01
3.844221479365747540e-02,4.294674282620318806e-01
3.651559850462340190e-02,3.946745313653837184e-01
3.245042537939162725e-02,3.279074511573286110e-01
2.576046532558224494e-02,2.345752593972078026e-01
1.551865540901070303e-02,1.222391751935094917e-01
0.000000000000000000e+00,5.313543323124028173e-17
0.000000000000000000e+00,0.000000000000000000e+00
1.864376863660463166e-02,1.587056002783268360e-01
3.139535517238147000e-02,3.045538166806512348e-01
3.987775202874059566e-02,4.257288941067983723e-01
4.507811452913915856e-02,5.124139484396356137e-01
4.755272164577497435e-02,5.575862721129849486e-01
4.755272164577494659e-02,5.575862721129850597e-01
4.507811452913913774e-02,5.124139484396356137e-01
3.987775202874054709e-02,4.257288941067983723e-01
3.139535517238139367e-02,3.045538166806511793e-01
1.864376863660458308e-02,1.587056002783268360e-01
0.000000000000000000e+00,6.898681060031158251e-17
0.000000000000000000e+00,0.000000000000000000e+00
2.111798398256623660e-02,1.916268045060363634e-01
3.593403629176462194e-02,3.677291449594816131e-01
4.593801780977032484e-02,5.140402570577428110e-01
5.212093985396171886e-02,6.187068846443068981e-01
5.507462863647052259e-02,6.732495600285128834e-01
5.507462863647050871e-02,6.732495600285129944e-01
5.212093985396167722e-02,6.187068846443070091e-01
4.593801780977026933e-02,5.140402570577428110e-01
3.593403629176453867e-02,3.677291449594815576e-01
2.111798398256617762e-02,1.916268045060363634e-01
0.000000000000000000e+00,8.329713661784484472e-17
0.000000000000000000e+00,0.000000000000000000e+00
2.305372706657208073e-02,2.202673825748434344e-01
3.952546245816433018e-02,4.226900117940373125e-01
5.077911850311644937e-02,5.908688100919722297e-01
5.778221693539106057e-02,7.111789314283750718e-01
6.113938447678867599e-02,7.738735652844124235e-01
6.113938447678866211e-02,7.738735652844125346e-01
5.778221693539100506e-02,7.111789314283751828e-01
5.077911850311640080e-02,5.908688100919722297e-01
3.952546245816426079e-02,4.226900117940372570e-01
2.305372706657201481e-02,2.202673825748434344e-01
0.000000000000000000e+00,9.574674224771027468e-17
0.000000000000000000e+00,0.000000000000000000e+00
2.452783974847487850e-02,2.439875512978214311e-01
4.228103284439046344e-02,4.682086822393328185e-01
5.451889826932874300e-02,6.544983302900641009e-01
6.217627777599527006e-02,7.877644160721413158e-01
6.585769422302317766e-02,8.572105138794299251e-01
6.585769422302314990e-02,8.572105138794300361e-01
6.217627777599522149e-02,7.877644160721414268e-01
5.451889826932869443e-02,6.544983302900641009e-01
4.228103284439040099e-02,4.682086822393327630e-01
2.452783974847482298e-02,2.439875512978214311e-01
0.000000000000000000e+00,1.060575238724906792e-16
0.000000000000000000e+00,0.000000000000000000e+00
2.559318201078510796e-02,2.622574413020979378e-01
4.428230538070333094e-02,5.032683444149589347e-01
5.724788165484009234e-02,7.035074393154100436e-01
6.539367541981098986e-02,8.467525454023677733e-01
6.931852412819275444e-02,9.213987960921150577e-01
6.931852412819274056e-02,9.213987960921151688e-01
6.539367541981097598e-02,8.467525454023678844e-01
5.724788165484006458e-02,7.035074393154100436e-01
4.428230538070327543e-02,5.032683444149588237e-01
2.559318201078504898e-02,2.622574413020979378e-01
0.000000000000000000e+00,1.139991556687422462e-16
0.000000000000000000e+00,0.000000000000000000e+00
2.628526145120166357e-02,2.746689334350619904e-01
4.558641056687913473e-02,5.270858234022601785e-01
5.903172600091621119e-02,7.368013546574988526e-01
6.750162714944824005e-02,8.868256220847667848e-01
7.158866626400675615e-02,9.650045517657799277e-01
7.158866626400674227e-02,9.650045517657800387e-01
6.750162714944825393e-02,8.868256220847668958e-01
5.903172600091620426e-02,7.368013546574988526e-01
4.558641056687908616e-02,5.270858234022600675e-01
2.628526145120161500e-02,2.746689334350619904e-01
0.000000000000000000e+00,1.193942347052882269e-16
0.000000000000000000e+00,0.000000000000000000e+00
2.662604291565093609e-02,2.809447754718363277e-01
4.622964472239388112e-02,5.391290760778590929e-01
5.991313299675677523e-02,7.536363452641269278e-01
6.854455916505104718e-02,9.070884798050192765e-01
7.271262185302161674e-02,9.870537003750168292e-01
7.271262185302161674e-02,9.870537003750169402e-01
6.854455916505107493e-02,9.070884798050193876e-01
5.991313299675679604e-02,7.536363452641269278e-01
4.622964472239386724e-02,5.391290760778589819e-01
2.662604291565090833e-02,2.809447754718363277e-01
0.000000000000000000e+00,1.221222438315518642e-16
0.000000000000000000e+00,0.000000000000000000e+00
2.662604291565093262e-02,2.809447754718363277e-01
4.622964472239388112e-02,5.391290760778590929e-01
5.991313299675677523e-02,7.536363452641269278e-01
6.854455916505106106e-02,9.070884798050192765e-01
7.271262185302163061e-02,9.870537003750168292e-01
7.271262185302161674e-02,9.870537003750169402e-01
6.854455916505107493e-02,9.070884798050193876e-01
5.991313299675680992e-02,7.536363452641269278e-01
4.622964472239389500e-02,5.391290760778589819e-01
2.662604291565091527e-02,2.809447754718363277e-01
0.000000000000000000e+00,1.221222438315518642e-16
0.000000000000000000e+00,0.000000000000000000e+00
2.628526145120165317e-02,2.746689334350619904e-01
4.558641056687911391e-02,5.270858234022601785e-01
5.903172600091620426e-02,7.368013546574988526e-01
6.750162714944825393e-02,8.868256220847667848e-01
7.158866626400675615e-02,9.650045517657799277e-01
7.158866626400672839e-02,9.650045517657800387e-01
6.750162714944828168e-02,8.868256220847668958e-01
5.903172600091625283e-02,7.368013546574988526e-01
4.558641056687913473e-02,5.270858234022600675e-01
2.628526145120164276e-02,2.746689334350619904e-01
0.000000000000000000e+00,1.193942347052882269e-16
0.000000000000000000e+00,0.000000000000000000e+00
2.559318201078508714e-02,2.622574413020979933e-01
4.428230538070331707e-02,5.032683444149590457e-01
5.724788165484007846e-02,7.035074393154101546e-01
6.539367541981100374e-02,8.467525454023678844e-01
6.931852412819272669e-02,9.213987960921151688e-01
6.931852412819269893e-02,9.213987960921152798e-01
6.539367541981098986e-02,8.467525454023679954e-01
5.724788165484009234e-02,7.035074393154101546e-01
4.428230538070331707e-02,5.032683444149589347e-01
2.559318201078506980e-02,2.622574413020979933e-01
0.000000000000000000e+00,1.139991556687422462e-16
0.000000000000000000e+00,0.000000000000000000e+00
2.452783974847486462e-02,2.439875512978214589e-01
4.228103284439044263e-02,4.682086822393328740e-01
5.451889826932875688e-02,6.544983302900642119e-01
6.217627777599528394e-02,7.877644160721414268e-01
6.585769422302313603e-02,8.572105138794300361e-01
6.585769422302312215e-02,8.572105138794301471e-01
6.217627777599524924e-02,7.877644160721415378e-01
5.451889826932872912e-02,6.544983302900642119e-01
4.228103284439042181e-02,4.682086822393328185e-01
2.452783974847483686e-02,2.439875512978214589e-01
0.000000000000000000e+00,1.060575238724906915e-16
0.000000000000000000e+00,0.000000000000000000e+00
2.305372706657205992e-02,2.202673825748435177e-01
3.952546245816430937e-02,4.226900117940374790e-01
5.077911850311646325e-02,5.908688100919725628e-01
5.778221693539107445e-02,7.111789314283754049e-01
6.113938447678864824e-02,7.738735652844127566e-01
6.113938447678863436e-02,7.738735652844128676e-01
5.778221693539106751e-02,7.111789314283754049e-01
5.077911850311645631e-02,5.908688100919725628e-01
3.952546245816430937e-02,4.226900117940374235e-01
2.305372706657203910e-02,2.202673825748435177e-01
0.000000000000000000e+00,9.574674224771031166e-17
0.000000000000000000e+00,0.000000000000000000e+00
2.111798398256621578e-02,1.916268045060364744e-01
3.593403629176459418e-02,3.677291449594818351e-01
4.593801780977033178e-02,5.140402570577430330e-01
5.212093985396173967e-02,6.187068846443072312e-01
5.507462863647049484e-02,6.732495600285132165e-01
5.507462863647049484e-02,6.732495600285133275e-01
5.212093985396173274e-02,6.187068846443073422e-01
4.593801780977033178e-02,5.140402570577430330e-01
3.593403629176459418e-02,3.677291449594817241e-01
2.111798398256620538e-02,1.916268045060364744e-01
0.000000000000000000e+00,8.329713661784488170e-17
0.000000000000000000e+00,0.000000000000000000e+00
1.864376863660461084e-02,1.587056002783268915e-01
3.139535517238144224e-02,3.045538166806513458e-01
3.987775202874060260e-02,4.257288941067985388e-01
4.507811452913917244e-02,5.124139484396357247e-01
4.755272164577492577e-02,5.575862721129851707e-01
4.755272164577493965e-02,5.575862721129852817e-01
4.507811452913918632e-02,5.124139484396358357e-01
3.987775202874060260e-02,4.257288941067985388e-01
3.139535517238144224e-02,3.045538166806512903e-01
1.864376863660460390e-02,1.587056002783268915e-01
0.000000000000000000e+00,6.898681060031160716e-17
0.000000000000000000e+00,0.000000000000000000e+00
1.551865540901072732e-02,1.222391751935095194e-01
2.576046532558227964e-02,2.345752593972079136e-01
3.245042537939167582e-02,3.279074511573286665e-01
3.651559850462344353e-02,3.946745313653837739e-01
3.844221479365746152e-02,4.294674282620319361e-01
3.844221479365748234e-02,4.294674282620319916e-01
3.651559850462345741e-02,3.946745313653838294e-01
3.245042537939168276e-02,3.279074511573286665e-01
2.576046532558228311e-02,2.345752593972078581e-01
1.551865540901072212e-02,1.222391751935095194e-01
0.000000000000000000e+00,5.313543323124029405e-17
0.000000000000000000e+00,0.000000000000000000e+00
1.157381044578225174e-02,8.304212892902569643e-02
1.883254562253420736e-02,1.593566784427787042e-01
2.347570466736226269e-02,2.227610975997563192e-01
2.627227834672888479e-02,2.681187374404602197e-01
2.759275232016387969e-02,2.917549917372673773e-01
2.759275232016389010e-02,2.917549917372674328e-01
2.627227834672888132e-02,2.681187374404602197e-01
2.347570466736226269e-02,2.227610975997563192e-01
1.883254562253421430e-02,1.593566784427786487e-01
1.157381044578224480e-02,8.304212892902569643e-02
0.000000000000000000e+00,3.609709808744341301e-17
0.000000000000000000e+00,0.000000000000000000e+00
6.545346678818309352e-03,4.199005872725463523e-02
1.035470463141988789e-02,8.057833262092185811e-02
1.274006973587892520e-02,1.126386292234381054e-01
1.416639144148217760e-02,1.355736139739930346e-01
1.483802306840640260e-02,1.475252308077030228e-01
1.483802306840640087e-02,1.475252308077030505e-01
1.416639144148217240e-02,1.355736139739930624e-01
1.274006973587892347e-02,1.126386292234381054e-01
1.035470463141989136e-02,8.057833262092184423e-02
6.545346678818306750e-03,4.199005872725463523e-02
0.000000000000000000e+00,1.825241342103202086e-17
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.450228739514565703e-17
0.000000000000000000e+00,6.620940465854059940e-17
0.000000000000000000e+00,9.255262971899169956e-17
0.000000000000000000e+00,1.113977911512930880e-16
0.000000000000000000e+00,1.212181660526902192e-16
0.000000000000000000e+00,1.212181660526902192e-16
0.000000000000000000e+00,1.113977911512931127e-16
0.000000000000000000e+00,9.255262971899169956e-17
0.000000000000000000e+00,6.620940465854058707e-17
0.000000000000000000e+00,3.450228739514565703e-17
0.000000000000000000e+00,1.499759782661857608e-32
